t,p,Gp,Wp,Bg,Bw,z
0,8490,0,0,0.5404,1.0518,1.271392
0.5,8330,1758,0,0.5458,1.052,1.259897
1,8323,5852,1000,0.546,1.052,1.259299
1.5,8166,10410,3000,0.5516,1.0522,1.248217
2,8100,14828,4000,0.554,1.0522,1.243516
2.5,7905,21097,7000,0.5614,1.0524,1.229789
3,7854,26399,9000,0.5634,1.0525,1.226208
3.5,7858,30042,10000,0.5632,1.0525,1.226397
4,7900,32766,11000,0.5616,1.0524,1.229449
4.5,7971,34548,11000,0.5588,1.0524,1.234314
5,7883,37590,12000,0.5622,1.0525,1.228114
5.5,7728,42446,16000,0.5684,1.0526,1.217244
6,7550,51117,54000,0.5759,1.0528,1.204899
6.5,7446,57697,153000,0.5804,1.0529,1.197586
7,7400,63678,433000,0.5825,1.053,1.194494
7.5,7600,65432,715000,0.5737,1.0528,1.208245
8,7675,65613,753000,0.5706,1.0528,1.213575
8.5,7600,67593,1042000,0.5737,1.0527,1.208245
9,7600,70688,1237000,0.5737,1.0528,1.208245
9.5,7615,72226,1575000,0.5731,1.0527,1.209363
10,7623,72943,2383000,0.5728,1.0527,1.21
